idx,logprob,params
219,-7.88787841796875,162322944
220,-6.91534423828125,162322944
221,-6.990509033203125,162322944
222,-6.5379638671875,162322944
223,-6.09527587890625,162322944
224,-6.4525146484375,162322944
225,-6.256134033203125,162322944
226,-2.435302734375,162322944
227,-1.80230712890625,162322944
228,-2.030609130859375,162322944
229,-6.81536865234375,162322944
230,-2.463348388671875,162322944
231,-1.687835693359375,162322944
232,-2.24432373046875,162322944
233,-3.1478271484375,162322944
234,-4.08221435546875,162322944
235,-3.354400634765625,162322944
236,-4.943115234375,162322944
237,-2.266754150390625,162322944
238,-2.459320068359375,162322944
239,-3.9425048828125,162322944
240,-5.770111083984375,162322944
241,-6.60247802734375,162322944
242,-3.60345458984375,162322944
243,-3.96051025390625,162322944
244,-3.870147705078125,162322944
245,-3.427093505859375,162322944
246,-3.111297607421875,162322944
247,-4.91961669921875,162322944
248,-3.542449951171875,162322944
249,-4.250152587890625,162322944
250,-3.76788330078125,162322944
251,-3.111541748046875,162322944
252,-2.44146728515625,162322944
253,-3.77008056640625,162322944
254,-3.060333251953125,162322944
255,-4.80267333984375,162322944
256,-3.781005859375,162322944
257,-5.845611572265625,162322944
258,-4.33465576171875,162322944
259,-3.112701416015625,162322944
260,-3.627044677734375,162322944
261,-3.162841796875,162322944
262,-4.48590087890625,162322944
263,-3.471649169921875,162322944
264,-2.93572998046875,162322944
265,-5.0777587890625,162322944
266,-6.137969970703125,162322944
267,-5.0548095703125,162322944
268,-4.225250244140625,162322944
269,-3.1929931640625,162322944
270,-2.6287841796875,162322944
271,-3.0897216796875,162322944
272,-3.84771728515625,162322944
273,-5.877166748046875,162322944
274,-4.891571044921875,162322944
275,-3.7677001953125,162322944
276,-6.6109619140625,162322944
277,-7.617095947265625,162322944
278,-3.57904052734375,162322944
279,-4.10125732421875,162322944
280,-4.3846435546875,162322944
281,-3.47113037109375,162322944
282,-3.324127197265625,162322944
283,-4.649810791015625,162322944
284,-4.4000244140625,162322944
285,-5.5673828125,162322944
286,-3.272430419921875,162322944
287,-3.72552490234375,162322944
288,-3.0272216796875,162322944
289,-7.206512451171875,162322944
290,-3.7584228515625,162322944
291,-2.595184326171875,162322944
292,-3.259765625,162322944
293,-3.56304931640625,162322944
294,-2.88739013671875,162322944
295,-5.301177978515625,162322944
296,-4.71923828125,162322944
297,-3.349822998046875,162322944
298,-4.7947998046875,162322944
299,-3.656829833984375,162322944
300,-3.61785888671875,162322944
301,-4.75439453125,162322944
302,-3.713623046875,162322944
303,-3.8818359375,162322944
304,-4.616943359375,162322944
305,-4.641082763671875,162322944
306,-3.508544921875,162322944
307,-6.531402587890625,162322944
308,-4.373931884765625,162322944
309,-4.35589599609375,162322944
310,-4.289337158203125,162322944
311,-5.122955322265625,162322944
312,-7.7057952880859375,162322944
313,-2.871185302734375,162322944
314,-3.186614990234375,162322944
315,-4.430328369140625,162322944
316,-4.392791748046875,162322944
317,-6.43426513671875,162322944
318,-4.4869384765625,162322944
319,-4.474151611328125,162322944
320,-4.336517333984375,162322944
321,-5.76336669921875,162322944
322,-4.9669189453125,162322944
323,-3.472808837890625,162322944
324,-5.0919647216796875,162322944
325,-6.203643798828125,162322944
326,-4.082489013671875,162322944
327,-5.093475341796875,162322944
328,-4.19049072265625,162322944
329,-3.59918212890625,162322944
330,-4.98980712890625,162322944
331,-5.160369873046875,162322944
332,-5.597320556640625,162322944
333,-4.520172119140625,162322944
334,-4.904998779296875,162322944
335,-3.672393798828125,162322944
336,-4.4390869140625,162322944
337,-3.85467529296875,162322944
338,-3.78472900390625,162322944
339,-4.73443603515625,162322944
340,-2.8170166015625,162322944
341,-3.4095458984375,162322944
342,-4.7662353515625,162322944
343,-3.408660888671875,162322944
344,-4.721527099609375,162322944
345,-3.777557373046875,162322944
346,-4.0997314453125,162322944
347,-4.298065185546875,162322944
348,-4.002655029296875,162322944
349,-5.784271240234375,162322944
350,-4.9150390625,162322944
351,-5.47174072265625,162322944
352,-6.310760498046875,162322944
353,-6.32366943359375,162322944
354,-6.01727294921875,162322944
355,-3.49853515625,162322944
356,-7.17169189453125,162322944
357,-4.6826171875,162322944
358,-4.848358154296875,162322944
359,-4.8463134765625,162322944
360,-5.048828125,162322944
361,-7.21575927734375,162322944
362,-5.2574462890625,162322944
363,-5.85015869140625,162322944
364,-4.3173828125,162322944
365,-5.8206787109375,162322944
366,-5.33575439453125,162322944
367,-5.79290771484375,162322944
368,-4.1639404296875,162322944
369,-4.514739990234375,162322944
370,-6.270294189453125,162322944
371,-4.61474609375,162322944
372,-4.9251708984375,162322944
373,-5.137939453125,162322944
374,-4.613006591796875,162322944
375,-4.99285888671875,162322944
376,-5.6724853515625,162322944
377,-5.47076416015625,162322944
378,-3.66278076171875,162322944
379,-5.017608642578125,162322944
380,-5.355743408203125,162322944
381,-3.99072265625,162322944
382,-6.011474609375,162322944
383,-5.162109375,162322944
384,-4.647247314453125,162322944
385,-5.5362548828125,162322944
386,-3.5941162109375,162322944
387,-5.62762451171875,162322944
388,-5.6534423828125,162322944
389,-4.738800048828125,162322944
390,-5.76348876953125,162322944
391,-4.207794189453125,162322944
392,-5.26995849609375,162322944
393,-5.238616943359375,162322944
394,-2.7010498046875,162322944
395,-5.6971435546875,162322944
396,-5.093963623046875,162322944
397,-4.891876220703125,162322944
398,-4.486175537109375,162322944
399,-5.1859130859375,162322944
400,-5.6590576171875,162322944
401,-5.348907470703125,162322944
402,-2.06591796875,162322944
403,-4.068756103515625,162322944
404,-2.74420166015625,162322944
405,-2.5958251953125,162322944
406,-4.144256591796875,162322944
407,-4.204559326171875,162322944
408,-4.102386474609375,162322944
409,-2.68914794921875,162322944
410,-3.062713623046875,162322944
411,-3.835968017578125,162322944
412,-4.485504150390625,162322944
413,-5.22698974609375,162322944
414,-3.956695556640625,162322944
415,-4.7183837890625,162322944
416,-4.952972412109375,162322944
417,-3.17510986328125,162322944
418,-3.589691162109375,162322944
419,-2.897735595703125,162322944
420,-3.57415771484375,162322944
421,-3.858062744140625,162322944
422,-4.772613525390625,162322944
423,-4.35784912109375,162322944
424,-3.64263916015625,162322944
425,-3.220703125,162322944
426,-3.552215576171875,162322944
427,-5.56927490234375,162322944
428,-3.964324951171875,162322944
429,-4.240753173828125,162322944
430,-4.0087890625,162322944
431,-5.526336669921875,162322944
432,-4.501312255859375,162322944
433,-4.099517822265625,162322944
434,-5.42340087890625,162322944
435,-6.229583740234375,162322944
436,-3.334014892578125,162322944
437,-5.14752197265625,162322944
438,-5.584014892578125,162322944
439,-4.857025146484375,162322944
440,-4.840362548828125,162322944
441,-4.355316162109375,162322944
442,-3.60791015625,162322944
443,-6.0479736328125,162322944
444,-5.053863525390625,162322944
445,-4.6224365234375,162322944
446,-8.2286376953125,162322944
447,-5.173065185546875,162322944
448,-5.255340576171875,162322944
449,-4.11053466796875,162322944
450,-5.76654052734375,162322944
451,-3.758941650390625,162322944
452,-3.401397705078125,162322944
453,-2.623931884765625,162322944
454,-4.631988525390625,162322944
455,-2.800750732421875,162322944
456,-4.135650634765625,162322944
457,-2.879638671875,162322944
458,-2.60406494140625,162322944
459,-4.08062744140625,162322944
460,-4.015380859375,162322944
461,-3.15411376953125,162322944
462,-4.09173583984375,162322944
463,-3.358917236328125,162322944
464,-2.99029541015625,162322944
465,-5.498779296875,162322944
466,-3.81787109375,162322944
467,-4.621124267578125,162322944
468,-6.048492431640625,162322944
469,-1.864837646484375,162322944
470,-2.6787109375,162322944
471,-4.018218994140625,162322944
472,-3.24017333984375,162322944
473,-2.676177978515625,162322944
474,-4.31475830078125,162322944
475,-3.265716552734375,162322944
476,-2.809051513671875,162322944
477,-2.64654541015625,162322944
478,-3.36474609375,162322944
479,-5.100006103515625,162322944
480,-3.140228271484375,162322944
481,-3.3656005859375,162322944
482,-2.750274658203125,162322944
483,-2.679779052734375,162322944
484,-4.413970947265625,162322944
485,-3.859161376953125,162322944
486,-4.974456787109375,162322944
487,-4.853363037109375,162322944
488,-2.6873779296875,162322944
489,-4.012176513671875,162322944
490,-2.5965576171875,162322944
491,-3.83343505859375,162322944
492,-3.694244384765625,162322944
493,-3.360321044921875,162322944
494,-2.974639892578125,162322944
