idx,logprob,params
84,-4.351232528686523,2614341888
85,-3.6594152450561523,2614341888
86,-3.3521509170532227,2614341888
87,-4.2819318771362305,2614341888
88,-3.147688865661621,2614341888
89,-3.305203437805176,2614341888
90,-3.289945602416992,2614341888
91,-3.3793153762817383,2614341888
92,-3.4035940170288086,2614341888
93,-3.790912628173828,2614341888
94,-4.134593963623047,2614341888
95,-3.5583324432373047,2614341888
96,-4.129162788391113,2614341888
97,-3.73776912689209,2614341888
98,-3.6034936904907227,2614341888
99,-3.451968193054199,2614341888
100,-3.3651914596557617,2614341888
101,-3.328279495239258,2614341888
102,-3.462778091430664,2614341888
103,-3.021343231201172,2614341888
104,-3.203385353088379,2614341888
105,-2.7282752990722656,2614341888
106,-4.196107864379883,2614341888
107,-2.9800195693969727,2614341888
108,-6.143135070800781,2614341888
109,-4.677574157714844,2614341888
110,-3.170980453491211,2614341888
111,-2.7610301971435547,2614341888
112,-6.523855209350586,2614341888
113,-3.109591484069824,2614341888
114,-3.4423294067382812,2614341888
115,-3.145631790161133,2614341888
116,-5.513988494873047,2614341888
117,-4.948220252990723,2614341888
118,-3.676180839538574,2614341888
119,-3.194455146789551,2614341888
120,-3.9829912185668945,2614341888
121,-3.4660444259643555,2614341888
122,-3.3738203048706055,2614341888
123,-4.628739356994629,2614341888
124,-3.646876335144043,2614341888
125,-6.3534088134765625,2614341888
126,-5.119135856628418,2614341888
127,-3.20986270904541,2614341888
128,-3.484124183654785,2614341888
129,-4.573315620422363,2614341888
130,-4.287265777587891,2614341888
131,-6.51496696472168,2614341888
132,-4.042458534240723,2614341888
133,-2.887845039367676,2614341888
134,-5.544809341430664,2614341888
135,-5.6114702224731445,2614341888
136,-5.913006782531738,2614341888
137,-6.253009796142578,2614341888
138,-6.349634170532227,2614341888
139,-4.3718061447143555,2614341888
140,-6.373212814331055,2614341888
141,-3.773819923400879,2614341888
142,-7.022544860839844,2614341888
143,-4.493792533874512,2614341888
144,-7.773333549499512,2614341888
145,-4.1456451416015625,2614341888
146,-4.530524253845215,2614341888
147,-4.645812034606934,2614341888
148,-4.960931777954102,2614341888
149,-9.208992004394531,2614341888
150,-3.53751277923584,2614341888
151,-4.032863616943359,2614341888
152,-7.192853927612305,2614341888
153,-6.627800941467285,2614341888
154,-7.394097328186035,2614341888
155,-5.015336036682129,2614341888
156,-5.304344177246094,2614341888
157,-4.474547386169434,2614341888
158,-6.96136474609375,2614341888
159,-4.559551239013672,2614341888
160,-4.726528167724609,2614341888
161,-5.020671844482422,2614341888
162,-5.417886734008789,2614341888
163,-10.193883895874023,2614341888
164,-10.210168838500977,2614341888
165,-6.942541122436523,2614341888
166,-7.680958271026611,2614341888
167,-5.235870361328125,2614341888
168,-9.946331024169922,2614341888
169,-5.742086410522461,2614341888
170,-8.42394733428955,2614341888
171,-5.908696174621582,2614341888
172,-5.576233863830566,2614341888
173,-5.7101850509643555,2614341888
174,-5.606955528259277,2614341888
175,-6.255762100219727,2614341888
176,-5.944445610046387,2614341888
177,-7.974774360656738,2614341888
178,-5.441524505615234,2614341888
179,-5.576831817626953,2614341888
180,-5.7117719650268555,2614341888
181,-6.085270881652832,2614341888
182,-6.649529457092285,2614341888
183,-6.650991439819336,2614341888
184,-5.92855167388916,2614341888
185,-6.629608154296875,2614341888
186,-6.809101581573486,2614341888
187,-6.406105995178223,2614341888
188,-5.038067817687988,2614341888
189,-6.55562686920166,2614341888
190,-6.104269981384277,2614341888
191,-5.919928550720215,2614341888
192,-5.780055999755859,2614341888
193,-5.814753532409668,2614341888
194,-5.603090286254883,2614341888
195,-9.259676933288574,2614341888
196,-6.4734368324279785,2614341888
197,-6.914594650268555,2614341888
198,-5.775182723999023,2614341888
199,-7.022035598754883,2614341888
200,-5.881763458251953,2614341888
201,-9.423049926757812,2614341888
202,-5.652248382568359,2614341888
203,-6.964972496032715,2614341888
204,-8.439456939697266,2614341888
205,-7.559725761413574,2614341888
206,-6.609283447265625,2614341888
207,-6.983705520629883,2614341888
208,-6.809889793395996,2614341888
